gym_name,day_of_week,hour,busyness_percent,hour_24,is_weekend,semester_week,is_exam_week,weather,capacity_label
Cook/Douglass Recreation Center,Sunday,11:00 AM,45,11,True,13,False,clear,Medium
Cook/Douglass Recreation Center,Sunday,12:00 PM,40,12,True,13,False,clear,Medium
Cook/Douglass Recreation Center,Sunday,1:00 PM,30,13,True,13,False,clear,Low
Cook/Douglass Recreation Center,Sunday,2:00 PM,25,14,True,13,False,clear,Low
Cook/Douglass Recreation Center,Sunday,3:00 PM,22,15,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,4:00 PM,20,16,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,5:00 PM,18,17,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,6:00 PM,15,18,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,7:00 PM,15,19,True,14,True,clear,Low
Cook/Douglass Recreation Center,Sunday,8:00 PM,15,20,True,14,True,clear,Low
